Participant,Recording,Second_Face_Fixation_ID,Second_Face_AOI
09,1,537,nose
09,1,545,eye
09,1,564,eye
09,1,570,eye
09,1,583,eye
09,1,600,mouth
09,1,609,eye
09,1,615,mouth
09,1,622,mouth
09,1,625,nose
09,1,639,eye
09,1,640,mouth
09,1,651,eye
09,1,2377,mouth
09,1,2545,mouth
09,1,2554,eye
09,1,2560,eye
09,1,2575,eye
09,1,2580,mouth
09,1,2584,eye
09,1,2585,eye
09,1,2674,nose
09,1,2680,mouth
09,1,2720,nose
09,1,2744,eye
09,1,2745,nose
09,1,2761,eye
09,1,2779,mouth
09,1,2788,mouth
09,1,2807,eye
09,1,2808,mouth
09,1,2823,eye
09,1,2832,eye
09,1,2850,mouth
09,1,2879,nose
09,1,2888,nose
09,1,2889,mouth
09,1,2897,eye
09,1,2903,nose
09,1,2924,eye
09,1,2948,nose
09,1,2949,eye
09,1,4640,mouth
09,1,4647,mouth
09,1,4648,nose
09,1,4667,mouth
09,1,4674,nose
09,1,4720,nose
09,1,4785,eye
09,1,4787,eye
09,1,4788,nose
09,1,4797,eye
09,1,4801,nose
09,1,4855,mouth
09,1,5181,eye
09,1,6055,eye
09,1,6130,eye
09,1,6472,nose
09,1,6473,mouth
09,1,6528,mouth
09,1,6529,mouth
09,2,466,eye
09,2,1220,eye
09,2,1251,eye
09,2,1253,eye
09,2,1477,eye
09,2,2076,eye
09,2,2082,nose
09,2,2115,nose
09,2,2116,eye
09,2,2124,nose
09,2,2125,eye
09,2,2132,eye
09,2,2148,mouth
09,2,2150,mouth
09,2,2151,nose
09,2,2162,nose
09,2,2185,eye
09,2,3375,mouth
09,2,3403,eye
09,2,3615,eye
09,2,3872,mouth
09,2,3874,mouth
09,2,3876,mouth
09,2,3880,eye
09,2,3881,eye
09,2,3891,mouth
09,2,3892,nose
09,2,3902,mouth
09,2,3907,eye
09,2,3909,nose
09,2,3912,nose
09,2,3917,eye
09,2,3932,eye
09,2,3935,nose
09,2,3936,nose
09,2,3966,eye
09,2,3967,eye
09,2,4015,mouth
09,2,4022,nose
09,2,4023,eye
09,2,4673,eye
09,2,4685,eye
09,2,5712,eye
09,2,5713,eye
09,2,5734,nose
09,2,5757,eye
09,2,5758,eye
12,1,876,eye
12,1,886,nose
12,1,887,eye
12,1,923,eye
12,1,993,eye
12,1,994,eye
12,1,1083,eye
12,1,1088,nose
12,1,1089,nose
12,1,1095,eye
12,1,1305,mouth
12,1,1313,eye
12,1,1336,eye
12,1,2703,eye
12,1,2899,nose
12,1,3075,eye
12,1,3076,eye
12,1,3081,eye
12,1,3093,mouth
12,1,3133,nose
12,1,3138,nose
12,1,4801,eye
12,1,4802,eye
12,1,4811,eye
12,1,4865,eye
12,1,4893,eye
12,1,4911,mouth
12,1,4921,eye
12,1,6684,mouth
12,1,6685,eye
12,2,2764,mouth
12,2,3486,mouth
12,2,3487,nose
12,2,3504,eye
12,2,3550,mouth
12,2,3557,mouth
12,2,3559,mouth
12,2,3560,mouth
12,2,4364,eye
12,2,4428,eye
12,2,4594,eye
12,2,4615,mouth
13,1,1382,eye
13,1,2075,eye
13,1,2216,eye
13,1,2546,eye
13,1,2618,eye
13,1,3684,eye
13,1,3798,eye
13,1,3959,eye
13,1,4315,eye
13,1,4544,eye
13,1,4670,mouth
13,1,4725,eye
13,1,4726,nose
13,1,5188,nose
13,1,5189,eye
13,2,410,eye
13,2,843,mouth
13,2,1106,eye
13,2,2205,mouth
13,2,2705,eye
13,2,3833,eye
13,2,3839,eye
13,2,3871,eye
13,2,4046,eye
13,2,4047,eye
13,2,4563,nose
