Participant,Recording,First_Face_Fixation_ID,First_Face_AOI
09,1,536,eye
09,1,544,mouth
09,1,563,nose
09,1,569,eye
09,1,582,eye
09,1,599,nose
09,1,608,mouth
09,1,614,nose
09,1,621,nose
09,1,624,nose
09,1,629,mouth
09,1,639,eye
09,1,650,eye
09,1,1897,eye
09,1,2377,mouth
09,1,2545,mouth
09,1,2554,eye
09,1,2560,eye
09,1,2575,eye
09,1,2580,mouth
09,1,2584,eye
09,1,2673,mouth
09,1,2679,eye
09,1,2708,mouth
09,1,2720,nose
09,1,2744,eye
09,1,2760,nose
09,1,2766,nose
09,1,2779,mouth
09,1,2788,mouth
09,1,2807,eye
09,1,2822,nose
09,1,2831,eye
09,1,2838,nose
09,1,2850,mouth
09,1,2879,nose
09,1,2888,nose
09,1,2894,mouth
09,1,2897,eye
09,1,2903,nose
09,1,2924,eye
09,1,2948,nose
09,1,4317,eye
09,1,4640,mouth
09,1,4647,mouth
09,1,4666,mouth
09,1,4673,mouth
09,1,4719,nose
09,1,4751,eye
09,1,4785,eye
09,1,4787,eye
09,1,4796,nose
09,1,4800,eye
09,1,4807,nose
09,1,4855,mouth
09,1,5181,eye
09,1,6055,eye
09,1,6130,eye
09,1,6472,nose
09,1,6491,mouth
09,1,6528,mouth
09,2,299,mouth
09,2,466,eye
09,2,1220,eye
09,2,1251,eye
09,2,1253,eye
09,2,1477,eye
09,2,2076,eye
09,2,2082,nose
09,2,2115,nose
09,2,2122,nose
09,2,2124,nose
09,2,2131,mouth
09,2,2136,nose
09,2,2148,mouth
09,2,2150,mouth
09,2,2161,mouth
09,2,2184,eye
09,2,2189,eye
09,2,3375,mouth
09,2,3403,eye
09,2,3615,eye
09,2,3872,mouth
09,2,3874,mouth
09,2,3876,mouth
09,2,3880,eye
09,2,3886,nose
09,2,3891,mouth
09,2,3900,nose
09,2,3902,mouth
09,2,3907,eye
09,2,3909,nose
09,2,3912,nose
09,2,3917,eye
09,2,3932,eye
09,2,3935,nose
09,2,3956,mouth
09,2,3966,eye
09,2,3996,nose
09,2,4015,mouth
09,2,4022,nose
09,2,4452,eye
09,2,4673,eye
09,2,4685,eye
09,2,5712,eye
09,2,5722,mouth
09,2,5734,nose
09,2,5757,eye
12,1,875,eye
12,1,882,nose
12,1,886,nose
12,1,922,nose
12,1,952,eye
12,1,993,eye
12,1,1082,eye
12,1,1086,eye
12,1,1088,nose
12,1,1094,eye
12,1,1304,eye
12,1,1312,nose
12,1,1335,eye
12,1,1767,eye
12,1,2703,eye
12,1,2899,nose
12,1,3075,eye
12,1,3080,eye
12,1,3092,mouth
12,1,3132,mouth
12,1,3137,mouth
12,1,3851,mouth
12,1,4801,eye
12,1,4810,eye
12,1,4864,eye
12,1,4892,nose
12,1,4910,eye
12,1,4920,eye
12,1,6234,mouth
12,1,6684,mouth
12,2,1851,mouth
12,2,2764,mouth
12,2,3486,mouth
12,2,3503,nose
12,2,3549,mouth
12,2,3555,mouth
12,2,3557,mouth
12,2,3559,mouth
12,2,3938,mouth
12,2,4364,eye
12,2,4428,eye
12,2,4594,eye
12,2,4615,mouth
13,1,453,eye
13,1,1382,eye
13,1,2075,eye
13,1,2216,eye
13,1,2546,eye
13,1,2618,eye
13,1,3684,eye
13,1,3798,eye
13,1,3959,eye
13,1,4315,eye
13,1,4544,eye
13,1,4670,mouth
13,1,4725,eye
13,1,4982,eye
13,1,5188,nose
13,2,409,mouth
13,2,638,eye
13,2,843,mouth
13,2,1106,eye
13,2,2205,mouth
13,2,2705,eye
13,2,3833,eye
13,2,3839,eye
13,2,3871,eye
13,2,4046,eye
13,2,4562,mouth
14,1,887,nose
14,1,933,mouth
14,1,941,mouth
14,1,1256,mouth
14,1,1411,mouth
14,1,1915,mouth
14,1,2401,nose
14,1,2458,mouth
14,1,2528,eye
14,1,2570,eye
14,1,2647,eye
14,1,2932,mouth
14,1,2992,mouth
14,1,3264,eye
14,1,3322,eye
14,1,3757,eye
14,1,4119,mouth
14,1,4122,mouth
14,1,4130,nose
14,1,4137,nose
14,1,4210,eye
14,1,4212,nose
14,1,4214,nose
14,1,4261,eye
14,1,5040,mouth
14,1,5679,mouth
14,1,5704,mouth
14,1,5734,mouth
14,2,585,eye
14,2,860,mouth
14,2,978,eye
14,2,1112,eye
14,2,1344,mouth
14,2,1448,eye
14,2,1534,mouth
14,2,1657,eye
14,2,1737,eye
14,2,2006,mouth
14,2,2401,mouth
14,2,2535,mouth
14,2,2537,mouth
14,2,2541,mouth
14,2,2613,eye
14,2,2693,mouth
14,2,3051,eye
14,2,3222,mouth
14,2,3264,eye
14,2,4020,mouth
14,2,4059,mouth
14,2,4061,nose
14,2,4121,mouth
14,2,4248,eye
15,1,619,eye
15,1,654,eye
15,1,1802,mouth
15,1,2784,eye
15,1,2871,eye
15,1,2883,eye
15,1,2885,eye
15,1,2961,eye
15,1,2966,nose
15,1,2970,eye
15,1,4090,eye
15,1,4557,eye
15,1,4570,nose
15,1,4580,nose
15,1,4609,nose
15,1,4670,eye
15,1,4673,eye
15,1,4676,eye
15,1,4678,eye
15,1,4681,eye
15,1,4711,eye
15,1,4728,mouth
15,1,4902,mouth
15,1,6131,eye
15,1,6345,mouth
15,1,6395,nose
15,1,6412,eye
15,2,200,eye
15,2,210,mouth
15,2,216,mouth
15,2,238,eye
15,2,952,eye
15,2,1036,eye
15,2,1043,eye
15,2,1879,eye
15,2,1896,eye
15,2,1900,nose
15,2,2084,eye
15,2,3112,eye
15,2,3666,eye
15,2,3680,eye
15,2,3744,eye
15,2,3759,eye
15,2,3767,eye
15,2,3771,mouth
15,2,3774,eye
15,2,3782,eye
15,2,3785,eye
15,2,3787,eye
15,2,3807,eye
15,2,3821,eye
15,2,3825,eye
15,2,4031,eye
15,2,4034,eye
15,2,4073,eye
15,2,4097,eye
15,2,4301,eye
15,2,4327,eye
15,2,4887,eye
15,2,5023,eye
15,2,5269,mouth
15,2,5384,eye
15,2,5386,eye
15,2,5526,eye
15,2,5547,eye
15,2,5597,eye
15,2,5599,eye
15,2,5603,eye
15,2,5605,eye
15,2,5613,eye
15,2,5621,eye
22,1,1353,eye
22,1,1357,mouth
22,1,2155,eye
22,1,2195,mouth
22,1,3069,mouth
22,1,3081,eye
22,1,3722,mouth
22,1,5011,mouth
